System,Domain,Task,Organization(s),Organization Categorization,Author(s),Publication date,Year,Reference,Link,Citations,Inclusion criteria,Source,Parameters,Training compute (FLOPs),Training dataset,Training dataset size (datapoints),Hidden layers,Inference compute (FLOPs),Equivalent training time (hours),Inference time (ms),Training dataset size (GB),Approach,Training objective,Training cost (2020 USD)
TD(0),,,University of Essex,Academia,Ian Witten,1977,1977,An adaptive optimal controller for discrete-time Markov environments,https://www.sciencedirect.com/science/article/pii/S0019995877903540,2.44E+02,Historical relevance,,,,,,,,,,,,,
,Vision,,Utrecht University,Academia,Koenderink & van Doom,1979,1979,The internal representation of solid shape with respect to vision,https://link.springer.com/article/10.1007/BF00337644,9.81E+02,Historical relevance,,,,,,,,,,,,,
Neocognitron,Vision,Character recognition,NHK Broadcasting Science Research Laboratories,Industry,"K Fukushima, S Miyake",1980,1980,Neocognitron: A self-organizing neural network model for a mechanism of pattern recognition unaffected by shift in position,https://link.springer.com/article/10.1007/BF00344251,5.78E+03,Highly cited,,1.14E+06,2.3E+08,,5.00E+00,,,,,,,,
Kohonen network,Other,Dimensionality reduction,Helsinki University of Technology,Academia,T Kohonen,25/07/1981,1981,Self-organized formation of topologically correct feature maps,https://link.springer.com/article/10.1007/BF00337288,1.18E+04,Highly cited,,4.10E+03,,,,,,,,,,,
Hopfield network,Other,Sequence memorization,California Institute of Technology,Academia,JJ Hopfield,01/04/1982,1982,Neural networks and physical systems with emergent collective computational abilities,https://bi.snu.ac.kr/Courses/g-ai09-2/hopfield82.pdf,2.33E+04,Highly cited,,9.90E+03,,,,N/A,,,,,,,
ASE+ACE,Games,Pole balancing,University of Massachusetts,Academia,"Andrew G. Barto, Richard S. Sutton, and Charles W. Anderson",09/1983,1983,Neuronlike adaptive elements that can solve difficult learning control problems,https://ieeexplore.ieee.org/document/6313077,4.30E+03,Highly cited,,3.24E+02,,,,,,,,,,,
,Language,,,Academia,,1984,1984,Language learnability and language development.,https://psycnet.apa.org/record/1985-97439-000,4.73E+03,Highly cited,,,,,,,,,,,,,
,,,University of California and University of Carnegie Mellon,Academia,"D. E. Rumelhart, G. E. Hinton, and R. J. Williams",1985,1985,Learning internal representations by error propagation,https://apps.dtic.mil/sti/citations/ADA164453,2.73E+04,Highly cited,,,,,,,,,,,,,
,Vision,,Massachusetts Institute of Technology,Academia,John Canny,1986,1986,A Computational Approach To Edge Detection,https://ieeexplore.ieee.org/abstract/document/4767851,3.79E+04,Highly cited,,,,,,,,,,,,,
,,,University of California,Academia,"Jordan, M.I.",1986,1986,Serial order: A parallel distributed processing approach,https://www.osti.gov/biblio/6910294,1.50E+03,Highly cited,,,,,,,,,,,,,
Back-propagation,Other,Learning to complete triples,University of California,Academia,"Rumelhart, David E.; Hinton, Geoffrey E.; Williams, Ronald J.",09/10/1986,1986,Learning representations by back-propagating errors,https://www.nature.com/articles/323533a0,2.53E+04,Highly cited,,1.44E+02,1.2E+08,,1.44E+02,,2.88E+02,,,,Unsupervised,,
,Language,Verb conjugation,Stanford,Academia,"Rumelhart, D. E., & McClelland, J. L",1987,1987,Learning the past tenses of English verbs: Implicit rules or parallel distributed processing?,http://stanford.edu/~jlmcc/papers/PDP/Chapter18.pdf,3.06E+02,,,2.12E+05,,,,,,,,,,,
,Vision,,"University of California, Santa Cruz",Academia,"Biederman, Irving",1987,1987,Recognition-by-components: A theory of human image understanding,https://psycnet.apa.org/record/1987-20898-001,7.59E+03,Highly cited,OpenAI,,,,,,,,,,,,
NetTalk,Speech,Speech synthesis,Princeton University,Academia,"TJ Sejnowski, CR Rosenberg",06/06/1987,1987,Parallel Networks that Learn to Pronounce English Text,http://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=03A3D3EDF0BAF35405ABCF083411B55E?doi=10.1.1.154.7012&rep=rep1&type=pdf,2.56E+03,Highly cited,,1.86E+04,8.1E+10,,2.10E+04,1,,,,,,,
MADALINE II,Other,Pattern classification,Stanford University,Academia,"Rodney Winter, Bernard Widrow",1988,1988,MADALINE RULE II: A Training Algorithm for Neural Networks,https://www-isl.stanford.edu/~widrow/papers/c1988madalinerule.pdf,8.10E+01,,,,,,,,,,,,,,
,Vision,,Roke Manor Research,Industry,Harris & Stephens,1988,1988,A Combined Corner and Edge Detector,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.434.4816&rep=rep1&type=pdf,1.91E+04,Highly cited,,,,,1.50E+03,,,,,,,,
Adaptive Broom Balancer,Games,Pole balancing,Stanford University,Academia,"VV Tolat, B Widrow",1988,1988,An Adaptive “Broom Balancer” with Visual Inputs,https://www-isl.stanford.edu/people/widrow/papers/c1988anadaptive.pdf,8.00E+01,,,1.10E+02,,,,,,,,,,,
,,,Technische Universität Wien Austria & University of California,Academia,Kurt Hornik & Maxwell Stinchcombe & Halbert White,1989,1989,Multilayer feedforward networks are universal approximators,https://www.sciencedirect.com/science/article/abs/pii/0893608089900208,2.17E+04,Highly cited,,,,,,,,,,,,,
Time-delay neural networks,,,Carnegie Mellon University & ATR Interpreting Telephony Research Laboratories & University of Toronto ,Industry - Academia Collaboration,"A. Waibel, T. Hanazawa, G. Hinton, K. Shikano, and K. J. Lang",1989,1989,Phoneme recognition using time-delay neural networks,https://ieeexplore.ieee.org/abstract/document/21701,3.45E+03,Highly cited,OpenAI,,,,,,,,,,,,
Q-learning,,,University of London,Academia,Christopher Watkins,01/01/1989,1989,Learning from delayed rewards,http://www.cs.rhul.ac.uk/~chrisw/thesis.html,8.03E+03,Highly cited,,,,,,,,,,,,,
Zip CNN,Vision,Character recognition,AT&T Bell Laboratories,Industry,Y. LeCun B. Boser J. S. Denker D. Henderson R. E. Howard W. Hubbard L. D. Jackel,01/12/1989,1989,Backpropagation applied to handwritten zip code recognition,https://ieeexplore.ieee.org/document/6795724,9.05E+03,Highly cited,,9.76E+03,4.3E+10,Buffalo zips,7.29E+03,3,1.29E+05,,,,,,
ALVINN,Driving,,Carnegie Mellon University ,Academia,DA Pomerleau,01/12/1989,1989,ALVINN: an autonomous land vehicle in a neural network,https://proceedings.neurips.cc/paper/1988/hash/812b4ba287f5ee0bc9d43bbf5bbe87fb-Abstract.html,1.58E+03,Highly cited,,3.99E+03,8.1E+10,Road snapshots,1.20E+03,1,,,,,,,
,,,"Air Force Institute of Technology, OH, USA",Academia,D.W. Ruck & S.K. Rogers & M. Kabrisky & M.E. Oxley & B.W. Suter,1990,1990,The multilayer perceptron as an approximation to a Bayes optimal discriminant function,https://ieeexplore.ieee.org/abstract/document/80266,1.05E+03,Highly cited,,,,,,,,,,,,,
MADALINE III,,,,,,1990,1990,"30 years of adaptive neural networks: perceptron, madaline, and backpropagation",,3.01E+03,,,,,,,,,,,,,,
DIABETES,Other,Medical diagnosis,Aalborg University,Academia,"S. Andreassen, R. Hovorka, J. Benn, K. G. Olesen, and E. R. Carson",1991,1991,A Model-based Approach to Insulin Adjustment,https://link.springer.com/chapter/10.1007/978-3-642-48650-0_19,1.32E+02,,,4.29E+05,,,,,,,,,,,
,Language,,"University of California, San Diego",Academia,J. L. Elman,1991,1991,"Distributed representations, simple recurrent networks, and grammatical structure",https://link.springer.com/article/10.1007/BF00114844,1.72E+03,Highly cited,,,,,,,,,,,,,
,,,Northeastern University,Academia,R. J. Williams,1992,1992,Simple statistical gradient-following algorithms for connectionist reinforcement learning,https://link.springer.com/article/10.1007/BF00992696,6.53E+03,Highly cited,OpenAI,,,,,,,,,,,,
TD-Gammon,Games,Backgammon,IBM,Industry,G Tesauro,01/05/1992,1992,Practical Issues in Temporal Difference Learning,https://papers.nips.cc/paper/1991/file/68ce199ec2c5517597ce0a4d89620f55-Paper.pdf,1.34E+03,Highly cited,,2.50E+04,1.8E+13,,,1,,,,,,,
Fuzzy NN,Speech,Speech recognition,Indian Statistical Institute,Academia,"SK Pal, S Mitra",01/09/1992,1992,"Multilayer perceptron, fuzzy sets, and classification",https://ieeexplore.ieee.org/document/159058,1.22E+03,Highly cited,,,,,,,,,,,,,
IBM-5,Language,Translation,IBM T.J. Watson Research Center,Industry,"Peter F. Brown, Stephen A. Della Pietra, Vincent J. Della Pietra, Robert L. Mercer",15/06/1993,1993,The Mathematics of Statistical Machine Translation: Parameter Estimation,https://www.aclweb.org/anthology/J93-2003/,5.75E+03,Highly cited,,1.66E+06,,Proceedings of the Canadian parliament,5.34E+07,,,,,,,,
,Language,Part-of-speech tagging,EURECOM,Academia,Bernard Merialdo,1994,1994,Tagging English Text with a Probabilistic Model,https://www.aclweb.org/anthology/J94-2001/,7.88E+02,,,2.45E+06,,,1.00E+06,N/A,,,,,,,
GroupLens,Recommendation,,Massachusetts Institute of Technology,Academia,"Paul Resnick, Neophytos Iacovou, Mitesh Suchak, Peter Bergstrom, John Riedl",1994,1994,GroupLens : an Open Architecture for Collaborative Filtering of Netnews,http://ccs.mit.edu/papers/CCSWP165.html,7.73E+03,Highly cited,,1.00E+08,,,,,,,,,,,
Support Vector Machines,,,AT&T Bell Laboratories,Industry,"C Cortes, V Vapnik",1995,1995,Support-Vector Networks,http://image.diku.dk/imagecanon/material/cortes_vapnik95.pdf,4.90E+04,Highly cited,,,,,,,,,,,,,
,Language,,University of Pennsylvania,Academia,D Yarowsky,1995,1995,Unsupervised Word Sense Disambiguation Rivaling Supervised Methods,https://www.aclweb.org/anthology/P95-1026/,3.00E+03,Highly cited,,,,,,,,,,,,,
,,,,Industry,,01/01/1995,1995,A Multiple Cause Mixture Model for Unsupervised Learning,https://ieeexplore.ieee.org/document/6795568,1.76E+02,,,,,,,,,,,,,Perplexity... sorta,
Random Decision Forests,,,AT&T Bell Laboratories,Industry,TK Ho,14/08/1995,1995,Random decision forests,https://ieeexplore.ieee.org/document/598994,4.68E+03,Highly cited,,,,,,,,,,,,,
System 11,Vision,Face recognition,Carnegie Mellon University,Academia,"HA Rowley, S Baluja, T Kanade",1996,1996,Neural Network-Based Face Detection,https://www.ri.cmu.edu/pub_files/pub1/rowley_henry_1996_3/rowley_henry_1996_3.pdf,6.01E+03,Highly cited,,6.45E+03,9.6E+08,,9.05E+03,,1.29E+04,,,,,,
HMM Word Alignment,Language,Translation,Lehrstuhl ffir Informatik,Academia,"Stephan Vogel, Hermann Ney, Christoph Tillmann",1996,1996,HMM-Based Word Alignment in Statistical Translation,https://www.aclweb.org/anthology/C96-2141/,1.10E+03,Highly cited,,,,,,,,,,,Supervised,,
LSTM,Other,Sequence recognition (?),The Technical University of Munich,Academia,Sepp Hochreiter ; Jurgen Schmidhuber,1997,1997,Long short-term memory,http://www.bioinf.jku.at/publications/older/2604.pdf,5.20E+04,Highly cited,,1.05E+04,2.1E+13,,1.27E+06,,4.20E+04,,,,,,
,Language,Philip Clarkson & Ronald Rosenfeld,Cambridge University Engineering & Carnegie Mellon University,Academia,"P Clarkson, R Rosenfeld",1997,1997,Statistical language modeling using the CMU-Cambridge toolkit,http://mi.eng.cam.ac.uk/reports/svr-ftp/auto-pdf/clarkson_eurospeech97.pdf,9.54E+02,,,,,,,,,,,,Supervised,,
,Vision,,MIT,Academia,"E. Osuna, R. Freund, F. Girosi",1997,1997,Training Support Vector Machines: An Application to Face Detection,https://ieeexplore.ieee.org/document/609310,3.85E+03,Highly cited,,,,,,,,,,,,,
BRNN,Speech,Speech recognition,,Industry,,11/1997,1997,Bidirectional recurrent neural networks,https://ieeexplore.ieee.org/document/650093,6.09E+03,,https://proceedings.neurips.cc/paper/2007/hash/4b0250793549726d5c1ea3906726ebfe-Abstract.html,,,,,,,,,,,,
,,,,Academia,,12/1997,1997,Sparse coding with an overcomplete basis set: A strategy employed by V1?,https://www.sciencedirect.com/science/article/pii/S0042698997001697,4.26E+03,,LessWrong,,,,,,,,,,,,
,Speech,,Johns Hopkins University,Academia,F Jelinek,1998,1998,Statistical Methods for Speech Recognition,https://aclanthology.org/J99-2009.pdf,3.06E+03,Highly cited,,,,,,,,,,,,,
,,,Carnegie Mellon University,Academia,"H Schneiderman, T Kanade",1998,1998,Probabilistic modeling of local appearance and spatial relationships for object recognition,https://ieeexplore.ieee.org/document/698586,6.02E+02,,,,,,,,,,,,,,
,Other,Recommender system,AT&T Labs and Rutgers University and Bell Communications Research,Industry - Academia Collaboration,"C Basu, H Hirsh, W Cohen",1998,1998,Recommendation as Classification : Using Social and Content-based Information in Recommendation,https://www.aaai.org/Papers/AAAI/1998/AAAI98-101.pdf,1.56E+03,Highly cited,OpenAI,,,,,,,,,,,,
RNN for speech,Speech,Speech synthesis,National Chiao Tung University,Academia,"SH Chen, SH Hwang, YR Wang",15/05/1998,1998,An RNN-based prosodic information synthesizer for Mandarin text-to-speech,https://ieeexplore.ieee.org/abstract/document/668817,2.31E+02,,,7.51E+03,2.3E+11,,2.82E+04,,,,,,,,
LeNet-5,Vision,Character recognition,AT&T Labs,Industry - Academia Collaboration (Industry leaning),"Yann LeCun, Léon Bottou, Yoshua Bengio, Patrick Haffner",01/11/1998,1998,Gradient-based Learning Applied to Document Recognition,http://vision.stanford.edu/cs598_spring07/papers/Lecun98.pdf,3.86E+04,Historical relevance,,6.00E+04,2.8E+12,MNIST,6.00E+04,6,7.81E+05,,,0.021,,,
,,,"University of California San Diego & Shannon Laboratory, AT&T Labs",Industry,Yoav Freund & Robert E. Schapire,1999,1999,Large Margin Classification Using the Perceptron Algorithm,https://link.springer.com/article/10.1023/A:1007662407062,1.73E+03,Highly cited,OpenAI,,,NIST,6.00E+04,,,,,,,,
IBM Model 4,Language,Translation,University of Southern California & IBM & University of Pennsylvania,Industry - Academia Collaboration (Academia leaning),"Yaser Al-Onaizan, Jan Curin, Michael Jahr, Kevin Knight, John Lafferty, Dan Melamed, Franz-Josef Och, David Purdy, Noah A. Smith, and David Yarowsky",1999,1999,Statistical machine translation,http://www-i6.informatik.rwth-aachen.de/publications/download/266/al-onaizan--1999.pdf,1.92E+03,Highly cited,,,,,,,,,,,,,
,,,IDSIA Switzerland,Academia,"F. A. Gers, J. Schmidhuber, and F. Cummins",1999,1999,Learning to forget: Continual prediction with LSTM,https://ieeexplore.ieee.org/document/818041,4.52E+03,Highly cited,,,,,,,,,,,,,
,Recommendation,,University of Minnesota,Academia,"B Sarwar, G Karypis, J Konstan, J Riedl",2000,2000,Application of Dimensionality Reduction in Recommender System -- A Case Study,http://robotics.stanford.edu/~ronnyk/WEBKDD2000/papers/sarwar.pdf,2.13E+03,Highly cited,,,,,,,,,,,,,
Peephole LSTM,,,IDSIA Switzerland,Academia,F.A. Gers; J. Schmidhuber,27/07/2000,2000,Recurrent nets that time and count,https://ieeexplore.ieee.org/document/861302,6.30E+02,,,,,,,,,,,,,,
,Language,,"University of California, University of Colorado",Academia,"Daniel Gildea, Daniel Jurafsky",10/2000,2000,Automatic Labeling of Semantic Roles,https://www.aclweb.org/anthology/P00-1065/,2.33E+03,Highly cited,,,,,,,,,,,,,
,Language,,RWTH Aachen - University of Technology,Academia,"Franz Josef Och, Hermann Ney",10/2000,2000,Improved Statistical Alignment Models,https://www.aclweb.org/anthology/P00-1056/,1.32E+03,Highly cited,,,,,,,,,,,,,
,,,Standford University,Academia,Jerome H. Friedman,2001,2001,Greedy function approximation: A gradient boosting machine,https://www.jstor.org/stable/2699986,1.43E+04,Highly cited,,,,,,,,,,,,,
Immediate trihead,Language,,Brown University,Academia,E Charniak,07/2001,2001,Immediate-Head Parsing for Language Models,https://www.aclweb.org/anthology/P01-1017/,4.22E+02,,,,,,,,,,,,,,
Decision tree (classification),Vision,Face recognition,Mitsubishi Electric Research Labs and Compaq CRL,Industry - Academia Collaboration,"P. Viola, M. Jones",8/12/2001,2001,Rapid object detection using a boosted cascade of simple features,https://www.cs.cmu.edu/~efros/courses/LBMV07/Papers/viola-cvpr-01.pdf,2.34E+04,Highly cited,,1.20E+08,6.3E+13,,1.45E+04,,6.70E+07,,,,,,
,Language,Translation,RWTH Aachen and University of Southern California,Academia,Franz Josef Och and Hermann Ney,2002,2002,Discriminative Training and Maximum Entropy Models for Statistical Machine Translation,https://www.aclweb.org/anthology/P02-1038/,1.41E+03,Highly cited,,,,,,,,,,,,,
,Language,,IBM TJ Watson Research Centre,Industry,"K Papineni, S Roukos, T Ward, WJ Zhu",2002,2002,Bleu: a method for automatic evaluation of machine translation,https://aclanthology.org/P02-1040.pdf,1.58E+04,Highly cited,,,,,,,,,,,,,
,,,Korea Advanced Institute of Science and Technology,Academia,"YH Cho, JK Kim, SH Kim",2002,2002,A personalized recommender system based on web usage mining and decision tree induction,https://www.sciencedirect.com/science/article/pii/S0957417402000520,6.56E+02,,,,,,,,,,,,,,
,Language,,AT&T Labs,Industry,Michael Collins,01/06/2002,2002,Discriminative Training Methods for Hidden Markov Models: Theory and Experiments with Perceptron Algorithms,https://www.aclweb.org/anthology/W02-1001/,2.58E+03,Highly cited,,,,,,,,,,,,,
,Language,,University of Southern California,Industry - Academia Collaboration,Daniel Marcu and William Wong,06/2002,2002,"A Phrase-Based, Joint Probability Model for Statistical Machine Translation",https://www.aclweb.org/anthology/W02-1018.pdf,6.23E+02,,,,,Hansard Corpus,1.07E+06,,,,,,,,
,,,University of Texas,Academia,"Justin Bayer, Daan Wierstra, Julian Togelius, Jürgen Schmidhuber",01/06/2002,2002,Evolving Neural Networks through Augmenting Topologies ,https://direct.mit.edu/evco/article/10/2/99/1123/Evolving-Neural-Networks-through-Augmenting,3.37E+03,Highly cited,,,,,,,,,,,,,
Thumbs Up?,Language,Sentiment classification,Cornell University and IBM Almaden Research Center,Industry - Academia Collaboration,"Bo Pang, Lillian Lee, Shivakumar Vaithyanathan",07/2002,2002,Thumbs up? Sentiment Classification using Machine Learning Techniques,https://www.aclweb.org/anthology/W02-1011/,1.07E+04,Highly cited,,,,,,,,,,,,,
,Driving,Helicopter driving,Stanford and UC Berkeley,Academia,"H. Kim, Michael Jordan, Shankar Sastry, Andrew Ng",2003,2003,Autonomous helicopter flight via reinforcement learning,https://papers.nips.cc/paper/2003/hash/b427426b8acd2c2e53827970f2c2f526-Abstract.html,3.85E+02,,,,,,,,,,,,,,
,Vision,,University of Oxford,Academia,"R Fergus, P Perona, A Zisserman",2003,2003,Object Class Recognition by Unsupervised Scale-Invariant Learning,https://ieeexplore.ieee.org/document/1211479,2.97E+03,Highly cited,,,,,,,,,,,,,
,Recommendation,,University of Washington,Industry - Academia Collaboration,"G. Linden, B. Smith, and J. York",01/01/2003,2003,Amazon.com Recommendations: Item-to-Item Collaborative Filtering,http://www.cs.umd.edu/~samir/498/Amazon-Recommendations.pdf,7.26E+03,Highly cited,,,,,,,,,,,,,
LDA,Language,Document classification,"University of California, Stanford University",Academia,"David M. Blei, Andrew Y. Ng, Michael I. Jordan",02/02/2003,2003,Latent Dirichlet Allocation,https://jmlr.org/papers/volume3/blei03a/blei03a.pdf,3.87E+04,Highly cited,,,,,,,,,,,,,
NPLM,Language,Text autocompletion,Université de Montréal,Academia,"Yoshua Bengio, Réjean Ducharme, Pascal Vincent, Christian Jauvin",15/03/2003,2003,A Neural Probabilistic Language Model,https://www.jmlr.org/papers/volume3/bengio03a/bengio03a.pdf,7.63E+03,Highly cited,,1.19E+07,1.3E+15,Brown corpus,1.00E+06,,2.17E+07,20160,,,,,
Phrase-based translation,Language,Translation,University of Southern California,Academia,"Philipp Koehn, Franz Josef Och, Daniel Marcu",05/2003,2003,Statistical Phrase-Based Translation,https://www.aclweb.org/anthology/N03-1017/,4.27E+03,Highly cited,,9.18E+06,,,2.00E+07,,,,,,,,
CNN Best Practices,Vision,Character recognition,,Industry,,06/08/2003,2003,Best practices for convolutional neural networks applied to visual document analysis,https://ieeexplore.ieee.org/document/1227801,3.07E+03,Highly cited,,,,,,,,,,,,,
,Language,,University of Sussex,Academia,"D McCarthy, R Koeling, J Weeds",2004,2004,Finding Predominant Word Senses in Untagged Text,https://www.aclweb.org/anthology/P04-1036/,4.75E+02,,,,,,,,,,,,,,
Sandstorm (DARPA Grand Challenge I),Driving,Self-driving car,Carnegie Mellon University,Academia,William Red L. Whittaker,2004,2004,DARPA Grand Challenge Technical Paper,https://web.archive.org/web/20050909192933/http://www.darpa.mil/grandchallenge04/TeamTechPapers/RedTeamFinalTP.pdf,6.60E+01,,,,,,,,,,,,,,
,,,Stanford University,Academia,"B. Taskar, C. Guestrin, and D. Koller",2004,2004,Max-margin markov networks,https://papers.nips.cc/paper/2003/file/878d5691c824ee2aaf770f7d36c151d6-Paper.pdf,1.76E+03,Highly cited,,,,,,,,,,,,,
,,,Soongsil University,Academia,"KS Oh, K Jung",01/06/2004,2004,GPU implementation of neural networks,https://www.sciencedirect.com/science/article/pii/S0031320304000524,4.71E+02,,,,,,,,,,,,,,
LIRA,Vision,Character recognition,Instituto de Ciencias Aplicadas y Tecnologia,Academia,"E Kussul, T Baidyk",30/07/2004,2004,Improved method of handwritten digit recognition tested on MNIST database,https://www.sciencedirect.com/science/article/abs/pii/S0262885604000721,1.88E+02,,,1.00E+05,,,1.00E+04,1,,45,500,,,,
